,1,Petronas Le Tour de Langkawi,Langka,t0_malaysia,MAS,Cont2HC,,,22,8,mncf@mail.com,XDS Astana Team | Team Picnic PostNL | Uno-X Mobility | Tudor Pro Cycling Team | TotalEnergies | Equipo Kern Pharma | Unibet Rose Rockets | Burgos-Burpellet-BH | Team Polti VisitMalta | Bardiani CSF 7 Saber | Solution Tech NIPPO Rali | Terengganu Cycling Team | Thailand Continental Cycling Team | HKSI Pro Cycling Team | Wheeltop Rotor Chengdu Team | 7Eleven Cliqq Roadbike Philippines | St George Continental Cycling Team | Nusantara Cycling Team | Aisan Racing Team | Malaysia Pro Cycling | KSPO,,tourofmalaysia,t0_malaysia,1,PETITS_TOURS_MO_NOTT,1,0,4,0,2024,0,1,0
,2,Kuurne - Brussel - Kuurne,K-B-K,c0_kuurne,bel,Cont1HC,,,55,1,info@kuurne-brussel-kuurne.be,Alpecin-Premier Tech | Bahrain Victorious | Decathlon CMA CGM Team | EF Education - EasyPost | Groupama-FDJ United | Lidl-Trek | Lotto Intermarché | Movistar Team | NSN Cycling Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Jayco AlUla | Team Picnic PostNL | Team Visma | Lease a Bike | UAE Team Emirates XRG | Uno-X Mobility | XDS Astana Team | Burgos-Burpellet-BH | Cofidis | Modern Adventure Pro Cycling | Pinarello-Q36.5 Pro Cycling Team | Team Flanders - Baloise | TotalEnergies | Tudor Pro Cycling Team | Unibet Rose Rockets,,kuurne,cont_1hc,1,CLAS_PLPAV,0,402,3,0,2021,0,1,0
,4,Paris-Roubaix,Roubai,topclas_roubaix,fra,CWTMajeures,Roubaix,Roubaix,91,1,tgouvenou@aso.fr,Alpecin-Premier Tech | Bahrain Victorious | Cofidis | Decathlon CMA CGM Team | EF Education - EasyPost | Groupama-FDJ United | INEOS Grenadiers | Lidl-Trek | Movistar Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Jayco AlUla | Team Picnic PostNL | Team Visma | Lease a Bike | UAE Team Emirates XRG | XDS Astana Team | Uno-X Mobility | Tudor Pro Cycling Team | TotalEnergies | NSN Cycling Team | Lotto Intermarché | Pinarello-Q36.5 Pro Cycling Team | Unibet Rose Rockets,,parisroubaix,top_classiques_majeures,1,CLAS_ROUBAIX,0,315,5,1,2026,0,1,0
,5,Tour de Suisse,Suisse,top_suisse,swi,CWTAutresToursA,,,69,5,info@tds.ch,UAE Team Emirates XRG | Alpecin-Premier Tech | Cofidis | Bahrain Victorious | Decathlon CMA CGM Team | EF Education - EasyPost | Groupama-FDJ United | INEOS Grenadiers | Lidl-Trek | Movistar Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Jayco AlUla | Team Picnic PostNL | Team Visma | Lease a Bike | XDS Astana Team | NSN Cycling Team | Lotto Intermarché | Pinarello-Q36.5 Pro Cycling Team | Tudor Pro Cycling Team,,tourdesuisse,top_suisse,1,PETITS_TOURS_MO_TT,1,1701,4,0,2023,0,1,0
,6,Coppa Bernocchi - GP Banco BPM,Berno,c0_bernocchi,ita,Cont1HC,,,34,1,u.s.legnanese@virgilio.it,Alpecin-Premier Tech | Bahrain Victorious | Cofidis | Decathlon CMA CGM Team | EF Education - EasyPost | Lidl-Trek | Movistar Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Picnic PostNL | Team Jayco AlUla | Team Visma | Lease a Bike | UAE Team Emirates XRG | XDS Astana Team | Solution Tech NIPPO Rali | Pinarello-Q36.5 Pro Cycling Team | Team Polti VisitMalta | Tudor Pro Cycling Team | Uno-X Mobility | Bardiani CSF 7 Saber | Burgos-Burpellet-BH | MBH Bank CSB Telecom Fort | Team UKYO,,bornecchi,cont_1hc,1,CLAS_PLONLY,0,204,2,0,2021,0,1,0
,8,Tour de l'Ain,Ain,t1_ain,fra,Cont21,,,19,3,pcolliou@tourdelain.com,Team Visma | Lease a Bike | Van Rysel Roubaix | Cofidis | Decathlon CMA CGM Team | Groupama-FDJ United | St Michel - PREFERENCE HOME - Auber93 | Pinarello-Q36.5 Pro Cycling Team | CIC Pro Cycling Academy | Tudor Pro Cycling Team U23 | BIKE AID | TotalEnergies | Nice Métropole Côte d'Azur | Unibet Rose Rockets,,circuitain,t1_ain,1,PETITS_TOURS_MO_GOATS,0,0,1,0,2025,0,1,0
,9,Denmark - National Road Championships,DEN RR,nat-den,den,NationalChampionship,,,31,1,jens.kasler@cyklingdanmark.dk,,,champ_danemark,cont_12,0,CLAS_PLVAL,0,0,4,0,2020,0,1,0
,10,Switzerland - National Road Championships,SWI RR,nat-swi,swi,NationalChampionship,,,25,1,lukas.stieger@rvwetzikon.ch,,,champ_switzerland,cont_12,0,CLAS_VAL,0,0,4,0,2012,0,1,0
,11,Ronde van Vlaanderen,RVV,topclas_rondevv,bel,CWTMajeures,,,91,1,nicolas.denys@flandersclassics.be,Alpecin-Premier Tech | Bahrain Victorious | Cofidis | Decathlon CMA CGM Team | EF Education - EasyPost | Groupama-FDJ United | INEOS Grenadiers | Lidl-Trek | Movistar Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Jayco AlUla | Team Picnic PostNL | Team Visma | Lease a Bike | UAE Team Emirates XRG | XDS Astana Team | Pinarello-Q36.5 Pro Cycling Team | Lotto Intermarché | NSN Cycling Team | Tudor Pro Cycling Team | Team Flanders - Baloise | Uno-X Mobility | Aarco,,tourdesflandres,top_classiques_majeures,1,CLAS_RVV,0,402,5,0,2026,0,1,0
,12,Itzulia Basque Country,Itzulia,top_pvasco,esp,CWTAutresToursA,,,70,6,admon@oceta.eus,Alpecin-Premier Tech | Bahrain Victorious | Cofidis | Decathlon CMA CGM Team | EF Education - EasyPost | Groupama-FDJ United | INEOS Grenadiers | Lidl-Trek | Movistar Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Jayco AlUla | Team Picnic PostNL | Team Visma | Lease a Bike | UAE Team Emirates XRG | XDS Astana Team | TotalEnergies | Euskaltel-Euskadi | Equipo Kern Pharma | Burgos-Burpellet-BH | Caja Rural-Seguros RGA | Tudor Pro Cycling Team,,tourpaysbasque,top_paysbasque,1,PETITS_TOURS_MO_GOATS,0,816,4,0,2024,0,1,0
,13,In Flanders Fields - From Middelkerke to Wevelgem,Wevelg,topclas_gwevelgem,bel,CWTAutresClasA,,,80,1,nicolas.denys@flandersclassics.be,Alpecin-Premier Tech | Bahrain Victorious | Cofidis | Decathlon CMA CGM Team | EF Education - EasyPost | Groupama-FDJ United | INEOS Grenadiers | Lidl-Trek | Movistar Team | Red Bull - BORA - hansgrohe | Soudal Quick-Step | Team Jayco AlUla | Team Picnic PostNL | Team Visma | Lease a Bike | UAE Team Emirates XRG | XDS Astana Team | Lotto Intermarché | NSN Cycling Team | Pinarello-Q36.5 Pro Cycling Team | Team Flanders - Baloise | TotalEnergies | Tudor Pro Cycling Team | Uno-X Mobility,,gandwevelgem,top_classiques_autres,1,CLAS_PLPAV,0,402,4,0,2026,0,1,0
,14,Midden-Brabant Poort Omloop,MidBra,c2_middenbrabant,ned,Cont12,,,12,1,info@wielerweekendgilze.nl,BEAT CC p/b Saxo | EEW-VDK Cyclingteam | NSN Development Team | Metec - Solarwatt p/b Mantel | Giant Store Assen - NWVG | Parkhotel Valkenburg | Sensa - Kanjers voor Kanjers Cyclingteam | Tarteletto - Isorex | U23 Velo Performance Cycling Team,,brabant,cont_12,1,CLAS_PLPAV,0,507,1,0,2022,0,1,0
